,Unnamed: 0,category,tech1,description,fit,title,also_buy,image,tech2,brand,feature,rank,also_view,details,main_cat,similar_item,date,price,asin
0,3,,,"[""Extra wide cleaning surface. ADA Accepted - American Dental Association. The floss dentists use most. Dentotape ribbon floss gives you extra cleaning surface for effective plaque removal. Flossing has been clinically proven to clean away the plaque from between teeth that brushing and rinsing can't remove. Made in USA.""]",,"Reach Dentotape Waxed Dental Floss with Extra Wide Cleaning Surface for Large Spaces between Teeth, Unflavored, 100 Yards","['B001E96P6O', 'B0122ZKPHI']","['https://images-na.ssl-images-amazon.com/images/I/41EXSAekYdL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31W%2ByvNqqEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lSv8Hs6aL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CEqMk8%2BEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FMSXjSglL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31UWbJbnZCL._SS40_.jpg']",,Reach,,"120,123 in Beauty & Personal Care (","['B01I9TJRN4', 'B003XDVERE', 'B0722XHMGZ', 'B012O5008K', 'B00E5ND76W', 'B001E96P6O', 'B07H9FS7XM', 'B0087W2ZME', 'B00IAJEBE4', 'B013EK49VI', 'B011IDBQH8', 'B0738PC4D3', 'B06XS39KL4', 'B005M35IRU', 'B078YFQ5VF', 'B01IKD74NY', 'B011W3GGSS', 'B01JS1KMAO', 'B01I9TLELM', 'B0009Q63TC', 'B01MAYB60W', 'B000052YAI', 'B001QU38IY', 'B00119TXPW', 'B01I9TJMRU', 'B071S6CVC2', 'B013PUH33I', 'B01DKVZYME', 'B0013GAIAW', 'B00ZY3QS4K', 'B00I8UAOFK', 'B00240UWGG', 'B079KL843V', 'B07CPLQW13', 'B07H3HDBPZ', 'B07LDJB8MH', 'B013L7GNQI', 'B01M2693FK', 'B07L5HV214', 'B074W58X3F', 'B000GGHS1W', 'B001F51RAG', 'B00MUEGLNO', 'B07LGFPMCJ', 'B07H13GWT9', 'B006JK91V4', 'B077F71863', 'B01ENYQSZO', 'B01LMLKTDI', 'B00240MO2G', 'B01M4RDOLB', 'B00YDJIXLM', 'B075TJQGJ4', 'B013VNQTN4', 'B07CVZYW21', 'B07CMP8B26']","{'\n    Product Dimensions: \n    ': '1 x 1 x 2 inches ; 5.6 ounces', 'Shipping Weight:': '1.6 ounces (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B000052YAN', 'UPC:': '381370092216', 'Item model number:': '381370092216'}",All Beauty,,,$5.17,B000052YAN
1,5,,,"['INDICATIONS: Aqua Velva Cooling After Shave Experience the cool, fresh feeling of Ice Blue, the classic American fragrance. INGREDIENTS: SD Alcohol 40, Water, Glycerin, Fragrance, Menthol, Benzophenone-1, FD&C Blue 1, Ext D&C Violet 2.']",,"Aqua Velva After Shave, Classic Ice Blue, 7 Ounce",['B0013NB7DW'],"['https://images-na.ssl-images-amazon.com/images/I/51pwS4smf%2BL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vUfJf4m%2BL._SS40_.jpg']",,Aqua Velva,,"65,003 in Beauty & Personal Care (","['B01I9TIY1U', 'B07L1PZCS7', 'B01N12C89Y', 'B01I9TINTI', 'B01MXHAUQR', 'B00SJ4S7XG', 'B00E4MR8UU', 'B000052Y68', 'B003LZXKEE', 'B01I9TKU8A', 'B004RSOHQY', 'B07BVQLYLC', 'B01N2YMCWO', 'B000C2370G', 'B00908ERNE', 'B00J5J2SI4', 'B01GFYWYC6', 'B01I9TJS6K', 'B000LN4C5U', 'B01MXHAT56', 'B0085UECY2', 'B00J5J2TUG', 'B01I9TN74O', 'B00IA1K4PC', 'B0027R4PTG', 'B07C37PMLM', 'B0777KX3WF', 'B000GCTTAO', 'B00J5J3Y8M', 'B01N5KGC1S', 'B0017WNSBS', 'B00SCJJ4M6', 'B07BYM4DDS', 'B0752Z8TSJ', 'B00IAJHV3C', 'B0072CZ4MI', 'B078JVQKM6', 'B0062O8BN6', 'B01MS8U8SG', 'B000CEQZZS', 'B07KQ5JCSM', 'B00MAD605Y', 'B01JF0BL1M', 'B0068T115K', 'B00A0J0A8I', 'B0010V7CAO', 'B001IAGE06', 'B07BRVW5G1', 'B077GGLNMQ', 'B00TOV9O58', 'B004AI5FGC', 'B01I9TI7MQ', 'B00187M9JO', 'B0077S723G', 'B07FYB5NF9', 'B07BSWQBS8', 'B01MU284NP', 'B00A0J0ABK', 'B014T5L9Z6']","{'\n    Product Dimensions: \n    ': '3 x 4 x 5 inches ; 7 ounces', 'Shipping Weight:': '8 ounces', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B0000530HU', 'UPC:': '011509211613 784190598263 322170211612', 'Item model number:': '011509211613', 'Batteries': '1 AAA batteries required.'}",All Beauty,,,,B0000530HU
2,15,,,"['S-Curl works by expanding the natural curl/wave pattern already present in hair, changing hard to comb hair into soft manageable natural looking curls and waves in minutes. S-Curl makes texturized waves and curl styles for all ages!.']",,Luster's S Curl Regular Kit,['B000GG87SK'],"['https://images-na.ssl-images-amazon.com/images/I/51A%2B7di-c8L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51eKwMIwQwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yKjv3cAoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517IX9pfl3L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514Due61MLL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51H9EC2dtdL._SS40_.jpg']",,Luster's,,"168,906 in Beauty & Personal Care (","['B000GG87SK', 'B003HEQWOY', 'B01ELBL1XI', 'B000142J5Y', 'B01I9TJTWS', 'B00AMH8REC', 'B01I9TKYPY', 'B0048ZEOAU', 'B001EYEMLE', 'B000MQUE26', 'B006WDFN9C', 'B0023ASEOE', 'B006VY5Y9Q', 'B002ABIVMG', 'B003HESJN6', 'B005K1R3K4', 'B000A3XI4M', 'B000142J22', 'B00VL1DFNQ', 'B00JOOWDQ2', 'B01H7JN3Z0', 'B004ETEWM0', 'B01LTIAU6A', 'B000142IFA', 'B07KH71TT7', 'B001HKE1UC', 'B06XGT1C3Q', 'B01BERC45G', 'B07BPFPZFM', 'B00AMH8PHQ', 'B01N539G26', 'B001KNNCJW', 'B01LTIAU8S', 'B07CKSH2SG', 'B07JC26XK7', 'B002QDTO4W', 'B002QDXA6K', 'B01D8Y5J4Q', 'B003HEQI2K', 'B000GCXWKM', 'B07F1G8T93', 'B010G72H8O', 'B00GI0958E', 'B07B75FSF1', 'B078B3DWR1', 'B0038TVH3Y', 'B014GCX5CW', 'B07F32BYHJ']","{'\n    Product Dimensions: \n    ': '3 x 2 x 1 inches ; 5.6 ounces', 'Shipping Weight:': '5.6 ounces', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B000142J2W', 'UPC:': '787461508732 698798550410 593159131676 799457525784 798813221865 797978208773 038276008994 798256409905 689825586892 798746239883 791159985965', 'Item model number:': '3025'}",All Beauty,,,,B000142J2W
3,29,,,"['Cleanser &amp; Body Wash Fragrance Free 16 oz<strong>FOR THE CHEMICALLY SENSITIVE<br />For Face, Hands, Body and Hair</strong>', '<strong>Ingredients:</strong><br />Purified Water, Sodium Sarcosinate, Cocamide MEA, Cocamidopropylbetaine, Methylparaben &amp; Propylparaben, Fragrance Free.', '', '', '']",,Fragrance Free Cleanser Magick Botanicals 16 oz Liquid,['B01BVRP8PC'],['https://images-na.ssl-images-amazon.com/images/I/31X3h1cvsZL._SS40_.jpg'],,Magick Botanicals,,"487,812 in Beauty &amp; Personal Care (","['B000NPBPFQ', 'B0000ZHOEU', 'B00U82TDT4', 'B001339RX4', 'B015T55EEM', 'B01A6LPTCG', 'B00N2KAAY6', 'B01A6LR1XQ', 'B01A6LOP80', 'B00MOSROJG', 'B00MU03E5G', 'B01F08HFGI', 'B01A6LPIDG', 'B0007D8E12', 'B004DBVQ9G', 'B01A6LOZOY', 'B00QO2PFDU', 'B0748HRTJX', 'B0046QC5MK', 'B00DGDIRJO', 'B00LFP7UJ8', 'B01A6LOKNU', 'B00WVRH7MY', 'B01MSY9RGH', 'B007KJ04EG', 'B01MRKR1G6', 'B07CM8TBSB', 'B00SIP0R3E', 'B00AD691YM', 'B00GI299M4', 'B07D2VZHGC', 'B0731ZG16W', 'B00BEQO67M', 'B01A6LPOMQ', 'B00AF2HQ5U', 'B078HD22R4', 'B07C9ND7H7', 'B077XPJLXL', 'B07HD1DHLC', 'B07C2S6LS7', 'B00822ZE2M', 'B07CP3GTNC', 'B00HCGE7FE', 'B00AJGABA4', 'B000PILH9K', 'B01A6LP5GG', 'B07D89273T']","{'Shipping Weight:': '13.6 ounces', 'ASIN: ': 'B00028NL6U', 'UPC:': '000469040005 890772123959', 'Item model number:': '000469040005'}",All Beauty,,,,B00028NL6U
4,33,,,"[""Avalon Organics Wrinkle Therapy Cleansing Milk, 8.5 Fluid Ounce. Wrinkle Therapy with CoQ10 &amp; Rosehip, for lines and wrinkles. This Cleansing Milk contains soap-free, botanical cleansers that gently lift away grime without drying or stripping skin.As skin ages and its cellular metabolism slows, collagen and elastin production gradually deteriorates causing wrinkles and sagging. This slowed metabolism is due in part to a decline in the skin's natural levels of Co-Enzyme Q10 and other energy sources. Studies show that supplementing the skin's natural CoQ10 production can help reverse and prevent these visible signs of aging. Wrinkle Therapy features a carefully selected blend of powerful natural wrinkle fighters. CoQ10 will boost skin energy levels to encourage regrowth of collagen and elastin; Rosehip Oil, high in potent antioxidants, provides intense free radical defense and promotes healthy skin rejuvenation; Hyaluronic Acid helps skin attract and retain moisture, resulting in a dewy, resilient and smoother surface texture. When skin is re-energized and its natural defenses are reinforced, it becomes firmer and more elastic, the appearance of lines and wrinkles fade and its overall complexion appears more youthful and healthy. Avalon Organics is grounded in the knowledge that all beauty begins within the Earth. Guided by the wisdom of nature, each product is thoughtfully crafted for optimal effectiveness while meeting a strict organic standard. Formulas contain carefully selected botanicals that are nurtured by the elements then tenderly harvested to nourish the body from the outside in. Deep rooted beauty is at the heart of the Avalon Organics Guiding Principles  ensuring that every product reflects a deep reverence for the planet and all it provides and contributes in its own small way to a holistic lifestyle of health, wellness and sustainability."", '', '']",,"Avalon Organics Wrinkle Therapy CoQ10 Cleansing Milk, 8.50 oz",['B0002JGIZA'],"['https://images-na.ssl-images-amazon.com/images/I/417SDyOkCpL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31h1rlvtGKL._SS40_.jpg']",,Avalon,,"141,988 in Beauty &amp; Personal Care (","['B077ZG4C3L', 'B07DW6ZLFS', 'B00503OFIU', 'B07DVZMGLY', 'B07DWBNGKC', 'B07DVZK877', 'B0779DJ4QT', 'B0048J1UKI', 'B00C8NY8VE', 'B07G3SFSRG', 'B001G7PYWA', 'B0774XZD16', 'B00MZMQTOW', 'B0012S7TH6', 'B001E14XNO', 'B0013YYNDM', 'B07FPPB6NK', 'B07BRHSKBM', 'B01LR89DBU', 'B07GW92G68', 'B07G3HHRZB', 'B0779FS9ZC', 'B07DW8JB8P', 'B0052P0XIC', 'B07885CKRX', 'B07DVWW9HX', 'B001E0ZBCC', 'B07DW8KHFY', 'B0045PAUQA', 'B004RRGNVW', 'B001HNBXEQ', 'B00JF2S2KE', 'B07C1F2128', 'B07JQ1JXWC', 'B003Z3PKHM', 'B00005LBRX', 'B07GFVW229', 'B00CWE5Z5W', 'B07H7VH2LZ', 'B00EZL8778', 'B01N2L9D5J', 'B00IMHN0B4', 'B01HAJZS1Y', 'B00C7OOVN4', 'B01N9VKTJ2', 'B01I3VGJ2U', 'B016L9QJJY', 'B01M99A059', 'B0779DKL17', 'B0052P0XZ0']","{'\n    Product Dimensions: \n    ': '2.5 x 1.4 x 6.4 inches ; 10.2 ounces', 'Shipping Weight:': '9.6 ounces (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item can be shipped to select countries outside of the U.S.', 'ASIN: ': 'B0002JHI1I', 'UPC:': '812595002532 654749358122 129500791321 885905022049 701864563358 885904313315 707005315855 618020871632', 'Item model number:': 'U-SC-2667'}",All Beauty,,,$8.27,B0002JHI1I
5,38,,,"[""Extra wide cleaning surface. ADA Accepted - American Dental Association. The floss dentists use most. Dentotape ribbon floss gives you extra cleaning surface for effective plaque removal. Flossing has been clinically proven to clean away the plaque from between teeth that brushing and rinsing can't remove. Made in USA.""]",,"Reach Dentotape Waxed Dental Floss with Extra Wide Cleaning Surface for Large Spaces between Teeth, Unflavored, 100 Yards","['B001E96P6O', 'B0122ZKPHI']","['https://images-na.ssl-images-amazon.com/images/I/41EXSAekYdL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31W%2ByvNqqEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41lSv8Hs6aL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CEqMk8%2BEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FMSXjSglL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31UWbJbnZCL._SS40_.jpg']",,Reach,,"120,123 in Beauty & Personal Care (","['B01I9TJRN4', 'B003XDVERE', 'B0722XHMGZ', 'B012O5008K', 'B00E5ND76W', 'B001E96P6O', 'B07H9FS7XM', 'B0087W2ZME', 'B00IAJEBE4', 'B013EK49VI', 'B011IDBQH8', 'B0738PC4D3', 'B06XS39KL4', 'B005M35IRU', 'B078YFQ5VF', 'B01IKD74NY', 'B011W3GGSS', 'B01JS1KMAO', 'B01I9TLELM', 'B0009Q63TC', 'B01MAYB60W', 'B000052YAI', 'B001QU38IY', 'B00119TXPW', 'B01I9TJMRU', 'B071S6CVC2', 'B013PUH33I', 'B01DKVZYME', 'B0013GAIAW', 'B00ZY3QS4K', 'B00I8UAOFK', 'B00240UWGG', 'B079KL843V', 'B07CPLQW13', 'B07H3HDBPZ', 'B07LDJB8MH', 'B013L7GNQI', 'B01M2693FK', 'B07L5HV214', 'B074W58X3F', 'B000GGHS1W', 'B001F51RAG', 'B00MUEGLNO', 'B07LGFPMCJ', 'B07H13GWT9', 'B006JK91V4', 'B077F71863', 'B01ENYQSZO', 'B01LMLKTDI', 'B00240MO2G', 'B01M4RDOLB', 'B00YDJIXLM', 'B075TJQGJ4', 'B013VNQTN4', 'B07CVZYW21', 'B07CMP8B26']","{'\n    Product Dimensions: \n    ': '1 x 1 x 2 inches ; 5.6 ounces', 'Shipping Weight:': '1.6 ounces (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B000052YAN', 'UPC:': '381370092216', 'Item model number:': '381370092216'}",All Beauty,,,$5.17,B000052YAN
6,40,,,"['INDICATIONS: Aqua Velva Cooling After Shave Experience the cool, fresh feeling of Ice Blue, the classic American fragrance. INGREDIENTS: SD Alcohol 40, Water, Glycerin, Fragrance, Menthol, Benzophenone-1, FD&C Blue 1, Ext D&C Violet 2.']",,"Aqua Velva After Shave, Classic Ice Blue, 7 Ounce",['B0013NB7DW'],"['https://images-na.ssl-images-amazon.com/images/I/51pwS4smf%2BL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51vUfJf4m%2BL._SS40_.jpg']",,Aqua Velva,,"65,003 in Beauty & Personal Care (","['B01I9TIY1U', 'B07L1PZCS7', 'B01N12C89Y', 'B01I9TINTI', 'B01MXHAUQR', 'B00SJ4S7XG', 'B00E4MR8UU', 'B000052Y68', 'B003LZXKEE', 'B01I9TKU8A', 'B004RSOHQY', 'B07BVQLYLC', 'B01N2YMCWO', 'B000C2370G', 'B00908ERNE', 'B00J5J2SI4', 'B01GFYWYC6', 'B01I9TJS6K', 'B000LN4C5U', 'B01MXHAT56', 'B0085UECY2', 'B00J5J2TUG', 'B01I9TN74O', 'B00IA1K4PC', 'B0027R4PTG', 'B07C37PMLM', 'B0777KX3WF', 'B000GCTTAO', 'B00J5J3Y8M', 'B01N5KGC1S', 'B0017WNSBS', 'B00SCJJ4M6', 'B07BYM4DDS', 'B0752Z8TSJ', 'B00IAJHV3C', 'B0072CZ4MI', 'B078JVQKM6', 'B0062O8BN6', 'B01MS8U8SG', 'B000CEQZZS', 'B07KQ5JCSM', 'B00MAD605Y', 'B01JF0BL1M', 'B0068T115K', 'B00A0J0A8I', 'B0010V7CAO', 'B001IAGE06', 'B07BRVW5G1', 'B077GGLNMQ', 'B00TOV9O58', 'B004AI5FGC', 'B01I9TI7MQ', 'B00187M9JO', 'B0077S723G', 'B07FYB5NF9', 'B07BSWQBS8', 'B01MU284NP', 'B00A0J0ABK', 'B014T5L9Z6']","{'\n    Product Dimensions: \n    ': '3 x 4 x 5 inches ; 7 ounces', 'Shipping Weight:': '8 ounces', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B0000530HU', 'UPC:': '011509211613 784190598263 322170211612', 'Item model number:': '011509211613', 'Batteries': '1 AAA batteries required.'}",All Beauty,,,,B0000530HU
7,50,,,"['S-Curl works by expanding the natural curl/wave pattern already present in hair, changing hard to comb hair into soft manageable natural looking curls and waves in minutes. S-Curl makes texturized waves and curl styles for all ages!.']",,Luster's S Curl Regular Kit,['B000GG87SK'],"['https://images-na.ssl-images-amazon.com/images/I/51A%2B7di-c8L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51eKwMIwQwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51yKjv3cAoL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517IX9pfl3L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514Due61MLL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51H9EC2dtdL._SS40_.jpg']",,Luster's,,"168,906 in Beauty & Personal Care (","['B000GG87SK', 'B003HEQWOY', 'B01ELBL1XI', 'B000142J5Y', 'B01I9TJTWS', 'B00AMH8REC', 'B01I9TKYPY', 'B0048ZEOAU', 'B001EYEMLE', 'B000MQUE26', 'B006WDFN9C', 'B0023ASEOE', 'B006VY5Y9Q', 'B002ABIVMG', 'B003HESJN6', 'B005K1R3K4', 'B000A3XI4M', 'B000142J22', 'B00VL1DFNQ', 'B00JOOWDQ2', 'B01H7JN3Z0', 'B004ETEWM0', 'B01LTIAU6A', 'B000142IFA', 'B07KH71TT7', 'B001HKE1UC', 'B06XGT1C3Q', 'B01BERC45G', 'B07BPFPZFM', 'B00AMH8PHQ', 'B01N539G26', 'B001KNNCJW', 'B01LTIAU8S', 'B07CKSH2SG', 'B07JC26XK7', 'B002QDTO4W', 'B002QDXA6K', 'B01D8Y5J4Q', 'B003HEQI2K', 'B000GCXWKM', 'B07F1G8T93', 'B010G72H8O', 'B00GI0958E', 'B07B75FSF1', 'B078B3DWR1', 'B0038TVH3Y', 'B014GCX5CW', 'B07F32BYHJ']","{'\n    Product Dimensions: \n    ': '3 x 2 x 1 inches ; 5.6 ounces', 'Shipping Weight:': '5.6 ounces', 'Domestic Shipping: ': 'Currently, item can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipments, please check with the manufacturer regarding warranty and support issues.', 'International Shipping: ': 'This item is not eligible for international shipping.', 'ASIN: ': 'B000142J2W', 'UPC:': '787461508732 698798550410 593159131676 799457525784 798813221865 797978208773 038276008994 798256409905 689825586892 798746239883 791159985965', 'Item model number:': '3025'}",All Beauty,,,,B000142J2W
8,64,,,"['Cleanser &amp; Body Wash Fragrance Free 16 oz<strong>FOR THE CHEMICALLY SENSITIVE<br />For Face, Hands, Body and Hair</strong>', '<strong>Ingredients:</strong><br />Purified Water, Sodium Sarcosinate, Cocamide MEA, Cocamidopropylbetaine, Methylparaben &amp; Propylparaben, Fragrance Free.', '', '', '']",,Fragrance Free Cleanser Magick Botanicals 16 oz Liquid,['B01BVRP8PC'],['https://images-na.ssl-images-amazon.com/images/I/31X3h1cvsZL._SS40_.jpg'],,Magick Botanicals,,"487,812 in Beauty &amp; Personal Care (","['B000NPBPFQ', 'B0000ZHOEU', 'B00U82TDT4', 'B001339RX4', 'B015T55EEM', 'B01A6LPTCG', 'B00N2KAAY6', 'B01A6LR1XQ', 'B01A6LOP80', 'B00MOSROJG', 'B00MU03E5G', 'B01F08HFGI', 'B01A6LPIDG', 'B0007D8E12', 'B004DBVQ9G', 'B01A6LOZOY', 'B00QO2PFDU', 'B0748HRTJX', 'B0046QC5MK', 'B00DGDIRJO', 'B00LFP7UJ8', 'B01A6LOKNU', 'B00WVRH7MY', 'B01MSY9RGH', 'B007KJ04EG', 'B01MRKR1G6', 'B07CM8TBSB', 'B00SIP0R3E', 'B00AD691YM', 'B00GI299M4', 'B07D2VZHGC', 'B0731ZG16W', 'B00BEQO67M', 'B01A6LPOMQ', 'B00AF2HQ5U', 'B078HD22R4', 'B07C9ND7H7', 'B077XPJLXL', 'B07HD1DHLC', 'B07C2S6LS7', 'B00822ZE2M', 'B07CP3GTNC', 'B00HCGE7FE', 'B00AJGABA4', 'B000PILH9K', 'B01A6LP5GG', 'B07D89273T']","{'Shipping Weight:': '13.6 ounces', 'ASIN: ': 'B00028NL6U', 'UPC:': '000469040005 890772123959', 'Item model number:': '000469040005'}",All Beauty,,,,B00028NL6U
9,68,,,"[""Avalon Organics Wrinkle Therapy Cleansing Milk, 8.5 Fluid Ounce. Wrinkle Therapy with CoQ10 &amp; Rosehip, for lines and wrinkles. This Cleansing Milk contains soap-free, botanical cleansers that gently lift away grime without drying or stripping skin.As skin ages and its cellular metabolism slows, collagen and elastin production gradually deteriorates causing wrinkles and sagging. This slowed metabolism is due in part to a decline in the skin's natural levels of Co-Enzyme Q10 and other energy sources. Studies show that supplementing the skin's natural CoQ10 production can help reverse and prevent these visible signs of aging. Wrinkle Therapy features a carefully selected blend of powerful natural wrinkle fighters. CoQ10 will boost skin energy levels to encourage regrowth of collagen and elastin; Rosehip Oil, high in potent antioxidants, provides intense free radical defense and promotes healthy skin rejuvenation; Hyaluronic Acid helps skin attract and retain moisture, resulting in a dewy, resilient and smoother surface texture. When skin is re-energized and its natural defenses are reinforced, it becomes firmer and more elastic, the appearance of lines and wrinkles fade and its overall complexion appears more youthful and healthy. Avalon Organics is grounded in the knowledge that all beauty begins within the Earth. Guided by the wisdom of nature, each product is thoughtfully crafted for optimal effectiveness while meeting a strict organic standard. Formulas contain carefully selected botanicals that are nurtured by the elements then tenderly harvested to nourish the body from the outside in. Deep rooted beauty is at the heart of the Avalon Organics Guiding Principles  ensuring that every product reflects a deep reverence for the planet and all it provides and contributes in its own small way to a holistic lifestyle of health, wellness and sustainability."", '', '']",,"Avalon Organics Wrinkle Therapy CoQ10 Cleansing Milk, 8.50 oz",['B0002JGIZA'],"['https://images-na.ssl-images-amazon.com/images/I/417SDyOkCpL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31h1rlvtGKL._SS40_.jpg']",,Avalon,,"141,988 in Beauty &amp; Personal Care (","['B077ZG4C3L', 'B07DW6ZLFS', 'B00503OFIU', 'B07DVZMGLY', 'B07DWBNGKC', 'B07DVZK877', 'B0779DJ4QT', 'B0048J1UKI', 'B00C8NY8VE', 'B07G3SFSRG', 'B001G7PYWA', 'B0774XZD16', 'B00MZMQTOW', 'B0012S7TH6', 'B001E14XNO', 'B0013YYNDM', 'B07FPPB6NK', 'B07BRHSKBM', 'B01LR89DBU', 'B07GW92G68', 'B07G3HHRZB', 'B0779FS9ZC', 'B07DW8JB8P', 'B0052P0XIC', 'B07885CKRX', 'B07DVWW9HX', 'B001E0ZBCC', 'B07DW8KHFY', 'B0045PAUQA', 'B004RRGNVW', 'B001HNBXEQ', 'B00JF2S2KE', 'B07C1F2128', 'B07JQ1JXWC', 'B003Z3PKHM', 'B00005LBRX', 'B07GFVW229', 'B00CWE5Z5W', 'B07H7VH2LZ', 'B00EZL8778', 'B01N2L9D5J', 'B00IMHN0B4', 'B01HAJZS1Y', 'B00C7OOVN4', 'B01N9VKTJ2', 'B01I3VGJ2U', 'B016L9QJJY', 'B01M99A059', 'B0779DKL17', 'B0052P0XZ0']","{'\n    Product Dimensions: \n    ': '2.5 x 1.4 x 6.4 inches ; 10.2 ounces', 'Shipping Weight:': '9.6 ounces (', 'Domestic Shipping: ': 'Item can be shipped within U.S.', 'International Shipping: ': 'This item can be shipped to select countries outside of the U.S.', 'ASIN: ': 'B0002JHI1I', 'UPC:': '812595002532 654749358122 129500791321 885905022049 701864563358 885904313315 707005315855 618020871632', 'Item model number:': 'U-SC-2667'}",All Beauty,,,$8.27,B0002JHI1I
